Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginLogout,Chrome 61.0.3163.100,,2017-11-08 15:14:44,2017-11-08 15:14:57,12.882s,PASSED
,,,,,,
Test Cases/LoginAcme,Chrome 61.0.3163.100,,2017-11-08 15:14:45,2017-11-08 15:14:54,8.982s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-08 15:14:48,2017-11-08 15:14:52,4.580s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-08 15:14:52,2017-11-08 15:14:53,1.055s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 15:14:53,2017-11-08 15:14:54,0.390s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-08 15:14:54,2017-11-08 15:14:54,0.267s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-08 15:14:54,2017-11-08 15:14:54,0.189s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 15:14:54,2017-11-08 15:14:54,0.225s,PASSED
,,,,,,
Test Cases/Logout,Chrome 61.0.3163.100,,2017-11-08 15:14:54,2017-11-08 15:14:57,2.831s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 15:14:55,2017-11-08 15:14:55,0.375s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 15:14:55,2017-11-08 15:14:55,0.264s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-11-08 15:14:55,2017-11-08 15:14:55,0.112s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-11-08 15:14:55,2017-11-08 15:14:57,1.733s,PASSED
