Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginLogoutPhp,Chrome 61.0.3163.100,login logout php,2017-11-08 13:36:14,2017-11-08 13:36:29,15.229s,PASSED
,,,,,,
Test Cases/Phpadminlogin,Chrome 61.0.3163.100,php demo travel admin login,2017-11-08 13:36:14,2017-11-08 13:36:23,8.512s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-08 13:36:15,2017-11-08 13:36:21,6.218s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-11-08 13:36:21,2017-11-08 13:36:22,1.157s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-08 13:36:22,2017-11-08 13:36:23,0.359s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-08 13:36:23,2017-11-08 13:36:23,0.147s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 13:36:23,2017-11-08 13:36:23,0.105s,PASSED
,,,,,,
Test Cases/PhpLogout,Chrome 61.0.3163.100,,2017-11-08 13:36:23,2017-11-08 13:36:29,6.314s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-11-08 13:36:23,2017-11-08 13:36:23,0.074s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 13:36:23,2017-11-08 13:36:27,3.300s,PASSED
click,Chrome 61.0.3163.100,,2017-11-08 13:36:27,2017-11-08 13:36:28,1.437s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-11-08 13:36:28,2017-11-08 13:36:29,1.226s,PASSED
