Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ConfirmandCancelpurchase,Chrome 61.0.3163.100,,2017-11-16 11:42:17,2017-11-16 11:42:32,15.526s,FAILED
,,,,,,
"Test Cases/PurchaseCancel,removeBook/PurchaseBook",Chrome 61.0.3163.100,,2017-11-16 11:42:18,2017-11-16 11:42:29,11.780s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-16 11:42:20,2017-11-16 11:42:24,4.401s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-16 11:42:24,2017-11-16 11:42:26,2.044s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:42:26,2017-11-16 11:42:27,0.525s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:42:27,2017-11-16 11:42:27,0.424s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:42:27,2017-11-16 11:42:27,0.421s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:42:27,2017-11-16 11:42:28,0.384s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:42:28,2017-11-16 11:42:28,0.296s,PASSED
acceptAlert,Chrome 61.0.3163.100,,2017-11-16 11:42:28,2017-11-16 11:42:28,0.062s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:42:28,2017-11-16 11:42:29,0.374s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:42:29,2017-11-16 11:42:29,0.191s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:42:29,2017-11-16 11:42:29,0.226s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:42:29,2017-11-16 11:42:29,0.112s,PASSED
acceptAlert,Chrome 61.0.3163.100,,2017-11-16 11:42:29,2017-11-16 11:42:29,0.021s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-11-16 11:42:29,2017-11-16 11:42:29,0.138s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:42:29,2017-11-16 11:42:29,0.195s,PASSED
,,,,,,
"Test Cases/PurchaseCancel,removeBook/CancelPurchaseforTestSuite",Chrome 61.0.3163.100,"continuing action after purchising one book, cancel confirmation of purchase another book",2017-11-16 11:42:30,2017-11-16 11:42:31,1.453s,FAILED
click,Chrome 61.0.3163.100,,2017-11-16 11:42:30,2017-11-16 11:42:30,0.228s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:42:30,2017-11-16 11:42:30,0.202s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:42:30,2017-11-16 11:42:30,0.245s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:42:30,2017-11-16 11:42:31,0.204s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:42:31,2017-11-16 11:42:31,0.122s,PASSED
acceptAlert,Chrome 61.0.3163.100,,2017-11-16 11:42:31,2017-11-16 11:42:31,0.010s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:42:31,2017-11-16 11:42:31,0.169s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,"Page is misssing, error message is displayed.That is the reason why this test fail.",2017-11-16 11:42:31,2017-11-16 11:42:31,0.024s,FAILED
