Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginEditForm,Chrome 61.0.3163.100,Login and edit profile,2017-11-16 11:19:29,2017-11-16 11:20:16,47.460s,FAILED
,,,,,,
Test Cases/LoginEditLogout/EditProfile,Chrome 61.0.3163.100,edit user profile,2017-11-16 11:19:29,2017-11-16 11:20:15,45.587s,FAILED
openBrowser,Chrome 61.0.3163.100,,2017-11-16 11:19:32,2017-11-16 11:19:39,6.088s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-16 11:19:39,2017-11-16 11:19:40,1.117s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:19:40,2017-11-16 11:19:40,0.533s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:19:40,2017-11-16 11:19:41,0.374s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:19:41,2017-11-16 11:19:41,0.690s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:19:41,2017-11-16 11:19:42,0.349s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:19:42,2017-11-16 11:19:42,0.497s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:19:42,2017-11-16 11:19:43,0.407s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:19:43,2017-11-16 11:19:43,0.775s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:19:43,2017-11-16 11:20:15,31.740s,FAILED
