Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginLogout,Chrome 61.0.3163.100,,2017-11-16 11:42:16,2017-11-16 11:42:30,14.772s,PASSED
,,,,,,
Test Cases/LoginEditLogout/LoginAcme,Chrome 61.0.3163.100,,2017-11-16 11:42:16,2017-11-16 11:42:26,10.063s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-16 11:42:18,2017-11-16 11:42:23,5.200s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-16 11:42:23,2017-11-16 11:42:24,1.153s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:42:24,2017-11-16 11:42:25,0.552s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:42:25,2017-11-16 11:42:25,0.516s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:42:25,2017-11-16 11:42:26,0.458s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:42:26,2017-11-16 11:42:26,0.576s,PASSED
,,,,,,
Test Cases/LoginEditLogout/Logout,Chrome 61.0.3163.100,,2017-11-16 11:42:26,2017-11-16 11:42:30,3.888s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:42:27,2017-11-16 11:42:27,0.336s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:42:27,2017-11-16 11:42:28,0.464s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-11-16 11:42:28,2017-11-16 11:42:28,0.251s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-11-16 11:42:28,2017-11-16 11:42:30,2.452s,PASSED
