Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteAddtoBasket,Chrome 61.0.3163.100,,2017-11-16 13:06:15,2017-11-16 13:07:51,1m - 35.646s,FAILED
,,,,,,
"Test Cases/PurchaseCancel,removeBook/CancelPurchase",Chrome 61.0.3163.100,,2017-11-16 13:06:15,2017-11-16 13:06:52,36.235s,FAILED
openBrowser,Chrome 61.0.3163.100,,2017-11-16 13:06:16,2017-11-16 13:06:19,2.795s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-11-16 13:06:19,2017-11-16 13:06:20,1.163s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-16 13:06:20,2017-11-16 13:06:21,0.688s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:06:21,2017-11-16 13:06:21,0.236s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:06:21,2017-11-16 13:06:52,30.837s,FAILED
,,,,,,
"Test Cases/PurchaseCancel,removeBook/CancelPurchaseforTestSuite",Chrome 61.0.3163.100,"continuing action after purchising one book, cancel confirmation of purchase another book",2017-11-16 13:06:52,2017-11-16 13:07:26,34.714s,FAILED
click,Chrome 61.0.3163.100,,2017-11-16 13:06:52,2017-11-16 13:06:52,0.164s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-16 13:06:52,2017-11-16 13:06:56,3.523s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:06:56,2017-11-16 13:07:26,30.762s,FAILED
,,,,,,
"Test Cases/PurchaseCancel,removeBook/NumberOfOneItemAddedtoTheBasket",Chrome 61.0.3163.100,,2017-11-16 13:07:26,2017-11-16 13:07:34,7.291s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-16 13:07:27,2017-11-16 13:07:29,2.751s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-11-16 13:07:29,2017-11-16 13:07:30,1.124s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-16 13:07:30,2017-11-16 13:07:31,0.728s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:07:31,2017-11-16 13:07:31,0.243s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:07:31,2017-11-16 13:07:32,0.241s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:07:32,2017-11-16 13:07:32,0.240s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:07:32,2017-11-16 13:07:32,0.205s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:07:32,2017-11-16 13:07:32,0.216s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:07:32,2017-11-16 13:07:33,0.208s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:07:33,2017-11-16 13:07:33,0.194s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,Verify number of item added to the basket,2017-11-16 13:07:33,2017-11-16 13:07:33,0.116s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-11-16 13:07:33,2017-11-16 13:07:34,0.882s,PASSED
,,,,,,
"Test Cases/PurchaseCancel,removeBook/PurchaseBook",Chrome 61.0.3163.100,,2017-11-16 13:07:34,2017-11-16 13:07:39,5.076s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-16 13:07:34,2017-11-16 13:07:36,1.914s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-16 13:07:36,2017-11-16 13:07:36,0.646s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:07:36,2017-11-16 13:07:37,0.266s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:07:37,2017-11-16 13:07:37,0.273s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:07:37,2017-11-16 13:07:37,0.230s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:07:37,2017-11-16 13:07:37,0.197s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 13:07:37,2017-11-16 13:07:38,0.109s,PASSED
