Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
browseBooksVariousRequests,Chrome 61.0.3163.100,,2017-11-16 11:46:12,2017-11-16 11:46:48,35.796s,FAILED
,,,,,,
Test Cases/Browse Book/BrowseBookbyAuthor,Chrome 61.0.3163.100,,2017-11-16 11:46:13,2017-11-16 11:46:20,6.979s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-16 11:46:13,2017-11-16 11:46:16,2.710s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-11-16 11:46:16,2017-11-16 11:46:17,1.164s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-16 11:46:17,2017-11-16 11:46:18,0.753s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:46:18,2017-11-16 11:46:18,0.325s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:46:18,2017-11-16 11:46:18,0.228s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:46:18,2017-11-16 11:46:18,0.205s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-11-16 11:46:18,2017-11-16 11:46:19,0.102s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-11-16 11:46:19,2017-11-16 11:46:20,1.062s,PASSED
,,,,,,
Test Cases/Browse Book/BrowseBookByISBN,Chrome 61.0.3163.100,,2017-11-16 11:46:20,2017-11-16 11:46:24,4.618s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-16 11:46:20,2017-11-16 11:46:22,1.932s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-16 11:46:22,2017-11-16 11:46:23,0.690s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:46:23,2017-11-16 11:46:23,0.280s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:46:23,2017-11-16 11:46:23,0.226s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:46:23,2017-11-16 11:46:23,0.211s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-11-16 11:46:23,2017-11-16 11:46:23,0.060s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-11-16 11:46:23,2017-11-16 11:46:24,0.950s,PASSED
,,,,,,
Test Cases/Browse Book/BrowseBookByPublisher,Chrome 61.0.3163.100,,2017-11-16 11:46:24,2017-11-16 11:46:28,4.055s,FAILED
openBrowser,Chrome 61.0.3163.100,,2017-11-16 11:46:25,2017-11-16 11:46:26,1.922s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-16 11:46:26,2017-11-16 11:46:27,0.705s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:46:27,2017-11-16 11:46:27,0.274s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-16 11:46:27,2017-11-16 11:46:28,0.254s,PASSED
click,Chrome 61.0.3163.100,,2017-11-16 11:46:28,2017-11-16 11:46:28,0.273s,PASSED
